title,category,price,no_of_ratings_given,product_offer,price_segment,discount_segment
Vicks Vaporub 50ml Relief From Cold Cough Headache And Body Pain,explore more,186.56,876,0,Budget,No Discount
Sos Nutrition Muscular Max Men Whey Protein Chocolate Powder - 909g,explore more,1071.54,0,67,Premium,High Discount
Baidyanath Asli Ayurved Swarna Bhasma -1 Gm,explore more,19711.0,0,8,Premium,Low Discount
Accu-Chek Performa 100 Strips,explore more,1764.0,31,37,Premium,High Discount
Cipla Vc15 Vitamin C Serum (15 Ml),explore more,2392.0,0,0,Premium,No Discount
Latex Medical Examination Hand Gloves  Box Of 100,explore more,378.0,55,58,Mid-Range,High Discount
Auric Liver Detox Effervescent | Fizzy Water With 10 Ayurvedic Herbs | 60 Tablets,explore more,1200.0,0,20,Premium,High Discount
Hk Vitals Biotin (60 Tablets) | Supplement For Hair Growth | Strong Hair And Glowing Skin,explore more,361.13,6,23,Mid-Range,High Discount
Accusure Fetal Doppler For Doctors And Mothers Fetal Heart Rate Monitor | Usb Charging & Lcd Display,explore more,2001.0,12,71,Premium,High Discount
Dr. Biswas Good Health Strong Capsule (Pack Of 2),explore more,211.2,31,56,Budget,High Discount
Kapiva Himalayan Shilajit/Shilajeet Resin 40g - For Endurance And Stamina,explore more,1648.9,0,45,Premium,High Discount
Wellbeing Nutrition Skin Fuel Japanese Collagen | L-Glutathione | Hyaluronic Acid For Skin - 90 Tabs,explore more,5124.3,0,5,Premium,Low Discount
